area,quartos,banheiros,vagas,preco,local
2700,,,,2500000,Bairro da Cruz
360,3,2,3,990000,Parque Mondesir
330,3,2,2,2128000,Centro
382,7,4,2,2600000,Bairro da Cruz
2500,4,2,2,6300000,Área Rural de Lorena
100,3,1,,1100000,Bairro da Cruz
4049,,,,6600000,Santo Antônio
100,3,1,2,900000,Bairro da Cruz
2700,,,,4500000,Bairro da Cruz
23687,2,1,,1500000,Área Rural de Lorena
4049,,,,6600000,Santo Antônio
1000,2,2,8,16000000,Bairro da Cruz
382,4,4,6,2600000,Bairro da Cruz
136,3,1,,950000,Vila Hepacare
510000,,,,10200000,Centro
750,,,,1500000,Bairro da Cruz
500000,,,,40000000,Loteamento Jardim Primavera
4049,,,,6600000,Santo Antônio
2796,,,,2100000,Bairro da Cruz
1500,,,,1100000,Bairro da Cruz
3600,,,,10000000,Vila Passos
750,3,2,,1300000,Bairro da Cruz
55980,,,,7300000,Santa Lucrécia
3500,,,,4300000,Vila Passos
600,3,2,4,699000,Parque Mondesir
2700,,,,1650000,Bairro da Cruz
1,3,1,2,1500000,Cidade Industrial
363000000,1,1,3,6500000,Centro
950,,,,360000,Aterrado
2975,,,,2100000,Bairro da Cruz
750,4,1,4,2480000,Bairro da Cruz
1400900,,,,6960000,Área Rural de Lorena
1,3,1,,1500000,Bairro da Cruz
10,1,1,,4880000,Jardim Novo Horizonte
300,3,2,,1750000,Vila Nunes
319,4,1,6,1800000,Vila Geny
2795,,,,2100000,Bairro da Cruz
2250,2,3,,960000,Centro
247,2,2,,799000,Parque Mondesir
799,3,3,5,1600000,Centro
100,4,4,1,1000000,Centro
218,,,,6900000,Área Rural de Lorena
656,3,3,3,1499000,Centro
1000,3,1,,1500000,Bairro da Cruz
56000,,,,6000000,Vila Passos
300,2,1,,1150000,Bairro da Cruz
21000,,,,21000000,Parque Mondesir
56000,,,,7300000,Bairro da Cruz
430,3,2,,1380000,Bairro da Cruz
750,5,1,6,2500000,Bairro da Cruz
750,3,1,,3392000,Bairro da Cruz
1452000,4,,2,4200000,Bairro da Cruz
600,4,1,2,1900000,Bairro da Cruz
1800,,,,2250000,Bairro da Cruz
550,9,6,,3000000,Centro
800,3,,6,6000000,Centro
248,3,2,11,1500000,Bairro da Cruz
429,6,2,2,1600000,Centro
999,7,6,,13990000,Centro
99,3,2,2,850000,Bairro da Cruz
495,3,1,,1300000,Bairro da Cruz
7380,,10,,15900000,Vila Hepacare
200,7,,10,16500000,Olaria
1800,50,50,35,7500000,Bairro da Cruz
750,5,5,5,2500000,Bairro da Cruz
382,8,5,5,2760000,Bairro da Cruz
999944,,,,78000000,Bairro da Cruz
429,7,5,2,1600000,Centro
350,,1,,1380000,Centro
264,3,3,,2000000,Bairro da Cruz
309,1,1,,2400000,Vila São Roque
4000,,,,11800000,Centro
380000,,,,17100000,Bairro da Cruz
330,4,1,2,2100000,Bairro da Cruz
500,1,1,,4880000,Mondesir
10000,,,,2000000,Aterrado
400,3,2,2,1000000,Vila Nunes
1500,,6,50,8000000,Loteamento Colinas de Lorena
264,3,5,4,2000000,Bairro da Cruz
90,5,2,,6500000,Centro
13900,12,8,50,3500000,Aterrado
600,6,5,3,1300000,Jardim Margarida
100,1,1,3,6500000,Centro
1600,14,16,4,2300000,Vila Nunes
4000,7,12,5,1800000,Aterrado
382,8,5,6,2489660,Bairro da Cruz
